AGE OF AIRCRAFT (YEARS OLD),AGE OF AIRCRAFT (YEAR BUILT),ESTIMATE OF TOTAL HOURS,1 - 50 HOURS,51 - 100 HOURS,101 - 150 HOURS,151 - 200 HOURS,201 - 300 HOURS,301 - 400 HOURS,401 - 500 HOURS,501 - 700 HOURS,701 - 1000 HOURS,1001- 1300 HOURS,1301 - 1600 HOURS,Over 1600 HOURS,Year of Survey
0 to 4,2013 - 2017,2815254,106805,199409,176576,183337,335984,375519,227729,329475,413728,315278,96979,54435,2017
5 to 9,2008 - 2012,2629621,119732,199534,205419,203395,355303,393733,241263,327070,259107,254223,39367,31475,2017
10 to 14,2003 - 2007,3276992,218185,326249,240331,254786,575136,422302,231952,389849,385709,134833,78171,19490,2017
15 to 19,1998 - 2002,2674078,119550,217583,172673,167586,429179,366143,203783,308027,411537,239315,33914,4788,2017
20 to 24,1993 - 1997,1238692,78083,131956,79048,79022,216591,196114,100281,156248,76362,26784,10628,87575,2017
25 to 29,1988 - 1992,830790,47879,70808,96062,60805,123534,140491,95587,128654,36705,11435,2335,16497,2017
30 to 34,1983 - 1987,916983,71907,111185,80813,102930,103033,103891,78318,106442,114519,5577,13704,24664,2017
35 to 39,1978 - 1982,3437182,302440,473758,368044,303118,484289,271797,306858,508239,316972,24560,57427,19679,2017
40 to 44,1973 - 1977,2810418,395638,557669,355138,240477,318894,276120,96738,276153,237550,36235,4620,15186,2017
45 to 49,1968 - 1972,1549632,233880,340374,187163,121324,173830,114826,90697,101699,142261,4393,31593,7593,2017
50 to 54,1963 - 1967,1209697,301743,350750,191785,71031,72860,98113,58222,28347,24324,1991,10531,0,2017
55 to 59,1958 - 1962,570061,170907,170821,82129,37238,20949,34583,5961,11045,9571,5909,0,20949,2017
60 and over,-1957,1252768,487772,325352,134361,36143,61414,52166,21659,37970,8018,73148,0,14765,2017
0 to 4,2012 - 2016,2714052,115748,209716,226711,177426,312709,212061,356293,227698,391196,365877,9170,109444,2016
5 to 9,2007 - 2011,3287557,129613,255541,236211,250874,325190,259791,496348,271385,414711,507970,35428,104496,2016
10 to 14,2002 - 2006,3100351,173463,299043,261211,224162,418396,260344,484764,280802,494805,99872,29214,74277,2016
15 to 19,1997 - 2001,2365659,133477,211607,197852,155947,361084,265476,400677,232103,279244,60131,19250,48811,2016
20 to 24,1992 - 1996,1039698,93247,93240,80340,69317,132798,162088,141115,117639,95259,31164,0,23491,2016
25 to 29,1987 - 1991,929314,59867,60092,70662,56355,104060,73777,197755,188340,64044,11556,10428,32379,2016
30 to 34,1982 - 1986,1144266,77621,146727,129679,144681,140255,134149,92489,153084,84357,10799,3159,27265,2016
35 to 39,1977 - 1981,3699608,338509,541670,431154,325090,472593,280257,271003,398600,444396,38218,0,158119,2016
40 to 44,1972 - 1976,2179163,341259,509113,342977,162885,245086,122035,122890,119958,106840,8393,90390,7335,2016
45 to 49,1967 - 1971,1492157,287906,378525,201216,132243,116595,102016,72976,99993,62350,31731,0,6607,2016
50 to 54,1962 - 1967,1162179,286412,330466,176293,79718,77834,73141,22275,3574,5590,10741,0,96136,2016
55 to 59,1957 - 1961,600542,174687,165115,97931,38020,29678,32093,26455,18782,4343,6401,0,7037,2016
60 and over,-1956,1118716,442287,336461,105566,74696,53271,19249,34491,23298,3225,3378,4492,18302,2016
0 to 4,2011 - 2015,2426466,121082,190949,172988,179110,254123,363571,265736,267882,469614,98028,22109,21273,2015
5 to 9,2006 - 2010,3475347,167678,270298,236596,233178,414944,484410,397732,428259,559607,154595,35095,92955,2015
10 to 14,2001 - 2005,3022355,175190,244828,200484,209554,357054,364579,381959,333346,546361,164880,33068,11054,2015
15 to 19,1996 - 2000,2067915,108454,208486,123700,144570,285743,352921,195465,222849,290605,110731,13021,11370,2015
20 to 24,1991 - 1995,947320,72957,110285,78858,64438,158445,134469,113920,93019,90521,6235,9962,14212,2015
25 to 29,1986 - 1990,951921,51330,79895,55924,55779,130993,141143,164207,134681,63590,36461,5745,32173,2015
30 to 34,1981 - 1985,1752917,109264,179405,201514,157910,193455,161519,197261,220587,234476,89863,0,7664,2015
35 to 39,1976 - 1980,3541522,449235,585215,488919,329935,457867,329390,220435,195149,333668,126073,0,25635,2015
40 to 44,1971 - 1975,1794255,327005,370214,224164,175407,193690,232084,38503,93618,113325,12317,8156,5771,2015
45 to 49,1966 - 1970,1748059,329343,327512,239447,152500,158005,174965,85031,95131,51212,0,0,134913,2015
50 to 54,1961 - 1965,854766,238046,257371,119020,76680,69327,43638,7846,2395,34729,0,0,5714,2015
55 to 59,1956 - 1960,553267,155557,176794,60177,55404,18928,26572,29113,30721,0,0,0,0,2015
60 and over,-1955,1005753,391749,253066,101816,56122,36751,42406,16983,8384,3999,0,0,94476,2015
0 to 4,2010 - 2014,2374139,118529,206213,168279,147073,327270,371930,281916,226430,339477,106612,30077,50333,2014
5 to 9,2005 - 2009,3562628,165193,317702,241955,238611,340092,565816,383339,424990,551201,280985,25636,27108,2014
10 to 14,2000 - 2004,2635915,179456,275723,198341,188342,274090,420052,262307,323240,393924,72173,18088,30178,2014
15 to 19,1995 - 1999,1923783,105572,129049,111721,104835,227386,315120,217060,228835,303488,100609,11855,68253,2014
20 to 24,1990 - 1994,960420,64412,73652,63249,45228,153095,206642,138084,79354,66737,10048,9710,50209,2014
25 to 29,1985 - 1989,1007429,56059,76741,66856,76072,121944,117615,147659,123768,63665,89673,12564,54812,2014
30 to 34,1980 - 1984,2174667,118138,271178,239538,173138,275876,269415,232257,352090,152178,10115,21433,59310,2014
35 to 39,1975 - 1979,3479580,419246,654748,444927,332034,463883,310776,202237,322888,224011,55413,10000,39417,2014
40 to 44,1970 - 1974,1494849,246578,344102,154134,116154,234279,132512,125100,119034,11687,0,0,11269,2014
45 to 49,1965 - 1969,1568112,379428,363059,226092,113675,203157,122484,50066,77372,12919,2202,0,17658,2014
50 to 54,1960 - 1964,707097,200598,206201,107757,47863,64502,21292,40491,15849,2544,0,0,0,2014
55 to 59,1955 - 1959,439120,137650,119101,61065,31800,32939,22125,7593,26848,0,0,0,0,2014
60 and over,-1954,943445,395960,240747,106549,31840,33586,42293,24629,22412,1623,30562,4414,8829,2014
0 to 4,2009 - 2013,2308602,117026,204906,172453,160054,402798,322475,221768,235152,300521,134237,18352,18862,2013
5 to 9,2004 - 2008,3384530,172616,324813,251196,184304,484503,394497,396971,337618,623144,166486,35056,13326,2013
10 to 14,1999 - 2003,2662978,158964,210219,182644,169730,327265,321419,311503,415659,420272,87141,29819,28341,2013
15 to 19,1994 - 1998,1500230,89322,145531,93795,92090,268202,191728,153423,165927,162411,75874,11505,50421,2013
20 to 24,1989 - 1993,1069825,59928,100661,61954,83024,195195,145269,137192,137693,115622,4621,4748,23918,2013
25 to 29,1984 - 1988,849473,60461,91406,82377,64536,130557,143904,94147,81551,71081,16418,6245,6790,2013
30 to 34,1979 - 1983,2543707,187388,371957,342395,215863,327209,271684,157145,169882,354650,97328,5154,43053,2013
35 to 39,1974 - 1978,3722718,410762,601749,417332,419799,369253,278703,156429,227140,360929,208018,37029,235573,2013
40 to 44,1969 - 1973,1587506,218416,341148,154562,160039,341671,153019,74524,40398,40853,39206,0,23672,2013
45 to 49,1964 - 1968,1415766,346120,386812,162398,105654,164142,74237,41608,24218,17404,0,31340,61833,2013
50 to 54,1959 - 1963,586697,199952,173414,57158,59522,54902,14404,9210,1147,11578,0,0,5409,2013
55 to 59,1954 - 1958,368725,139202,105933,39325,19749,25734,11233,9682,1014,14373,0,0,2481,2013
60 and over,-1953,875195,351533,200611,66698,10100,34105,30480,15377,21171,7174,0,25539,112407,2013
0 to 4,2008 - 2012,2716225,145342,269382,191504,209861,372823,311778,309624,316927,432537,91441,17698,47309,2012
5 to 9,2003 - 2007,3480086,192490,298309,286683,284444,469961,486228,280572,523736,386542,191274,25093,54753,2012
10 to 14,1998 - 2002,2985892,163439,205211,236568,193488,376908,400762,267808,451302,366026,91142,219950,13288,2012
15 to 19,1993 - 1997,1265698,84809,103809,68374,113149,201095,171262,153308,120785,132999,35371,22474,58264,2012
20 to 24,1988 - 1992,1152100,69211,88008,78253,72074,140443,126004,148812,136091,149858,64585,5958,72801,2012
25 to 29,1983 - 1987,1064163,60420,115672,89861,153209,153653,92876,146185,63695,94995,56329,14985,22281,2012
30 to 34,1978 - 1982,3508975,282831,508133,392064,303625,434510,377453,237753,243830,291029,196543,21659,219543,2012
35 to 39,1973 - 1977,3033070,393504,525073,369634,225599,362809,276841,146494,163072,188619,1978,15705,363743,2012
40 to 44,1968 - 1972,1627125,245707,342461,189179,151277,201961,113419,80352,206819,70811,7945,8574,8619,2012
45 to 49,1963 - 1967,1723213,347283,346717,215893,135287,116764,70094,30901,22467,83265,0,55228,299314,2012
50 to 54,1958 - 1962,588867,190205,190609,54763,51430,26813,28575,3907,7020,23705,3197,0,8642,2012
55 to 59,1953 - 1957,391979,122419,114888,37306,55842,18227,7418,19989,15889,0,0,0,0,2012
60 and over,-1952,865575,329646,241418,92796,54265,26893,3242,5805,32655,941,3569,0,74345,2012
0 to 4,2007 - 2011,3463583,193081,329104,286444,295484,383769,358924,303114,565163,526966,101201,13540,106795,2010
5 to 9,2002 - 2006,2921483,175365,317727,198740,185218,259821,283159,268695,472617,482765,67701,138749,70925,2010
10 to 14,1997 - 2001,2680784,150444,224684,179784,182961,351985,262767,395071,270320,391389,58241,41676,171463,2010
15 to 19,1992 - 1996,1058927,88250,86026,67214,70770,157459,127885,98402,172700,111312,16798,3682,58429,2010
20 to 24,1987 - 1991,1190626,65440,63054,81155,127172,147120,164867,138918,171507,158143,18462,7421,47368,2010
25 to 29,1982 - 1986,2176329,95013,224626,183298,325145,299532,144580,229196,155903,107914,165749,71122,174253,2010
30 to 34,1977 - 1981,4411672,396112,747808,586321,448704,502004,329466,396791,381423,209407,202325,29862,181449,2010
35 to 39,1972 - 1976,2304341,365790,481042,277891,177264,262315,176500,142297,183281,35947,4972,13311,183730,2010
40 to 44,1967 - 1971,1803883,394956,455251,260750,130232,195046,85656,75632,71051,110025,11692,0,13590,2010
45 to 49,1962 - 1966,1027773,263720,246483,160555,139263,64312,50069,27122,4766,9617,50705,3369,7791,2010
50 to 54,1957 - 1961,534785,205189,186979,41995,13545,48448,19428,9919,6182,0,3099,0,0,2010
55 to 59,1952 - 1956,392430,104681,87102,30553,50840,23342,17017,6295,3158,3617,65823,0,0,2010
60 and over,-1951,835010,401896,215373,61729,69029,30408,18646,29311,0,0,0,8617,0,2010
0 to 4,2006 - 2010,3533693,204002,404959,376861,312111,464196,335384,284637,465584,434229,182574,3418,65739,2009
5 to 9,2001 - 2005,2934088,182295,295754,255672,289272,350669,306294,206676,506279,334491,87275,11314,108096,2009
10 to 14,1996 - 2000,1956039,133398,180652,119293,139592,258796,253473,221081,351285,148947,68821,5277,75424,2009
15 to 19,1991 - 1995,1015302,66629,107656,110600,87785,134732,141076,88656,153384,73939,33665,0,17181,2009
20 to 24,1986 - 1990,1039778,53658,99032,67406,109750,124899,125409,171302,144794,103911,13531,5669,20420,2009
25 to 29,1981 - 1985,2294118,108439,290670,280547,270628,332761,163065,247519,325167,178111,48505,2243,46464,2009
30 to 34,1976 - 1980,4196641,520187,875901,512689,371784,497568,377332,242381,311071,342904,41769,19112,83943,2009
35 to 39,1971 - 1975,2065355,358597,398415,311550,216968,283810,121355,119285,155479,71963,6063,0,21872,2009
40 to 44,1966 - 1970,1935735,430508,625608,294710,122097,160967,59947,91550,94337,15717,0,2162,38131,2009
45 to 49,1961 - 1965,1190664,237059,276869,142057,94549,86247,57352,58357,0,18023,3338,0,216814,2009
50 to 54,1956 - 1960,617103,160174,161166,88949,27326,18164,19159,5613,6892,20490,109169,0,0,2009
55 to 59,1951 - 1955,218823,83446,75988,14609,4215,10917,7481,1957,1451,14068,0,0,4692,2009
60 and over,-1950,765186,325982,216671,86618,6583,8188,1624,2827,6590,0,0,0,110102,2009
0 to 4,2005 - 2009,4354897,279336,462625,410335,385212,466690,417524,434475,558895,777448,98857,27144,36354,2008
5 to 9,2000 - 2004,3424049,215662,267820,182284,179848,331229,422911,299146,406420,854154,88742,145617,30217,2008
10 to 14,1995 - 1999,1537994,99399,129826,88309,61818,254114,173533,182715,304033,147988,55388,26846,14024,2008
15 to 19,1990 - 1994,1142229,53430,99919,84116,76537,130140,155937,238186,132446,110118,19795,7182,34424,2008
20 to 24,1985 - 1989,1230391,71155,157016,95834,107528,189300,164191,162285,120433,109088,26470,4772,22319,2008
25 to 29,1980 - 1984,4892932,287145,568543,529420,263497,491472,512727,490464,377709,214113,217515,462372,477955,2008
30 to 34,1975 - 1979,4039441,514184,838773,495541,384422,288978,362097,300295,505164,272402,7644,43476,26466,2008
35 to 39,1970 - 1974,1482146,291916,387355,196404,209493,170749,60975,47806,77796,19000,8837,0,11813,2008
40 to 44,1965 - 1969,1791951,400161,473617,358019,166794,108396,118089,22991,85504,10780,3203,0,44399,2008
45 to 49,1960 - 1964,633054,214187,223555,25346,79287,30084,27476,8189,20688,4240,0,0,0,2008
50 to 54,1955 - 1959,526845,155959,146199,54232,18278,43486,23049,21999,27878,19658,5685,0,10421,2008
55 to 59,1950 - 1954,242686,57019,85850,39258,9540,14812,11925,4519,11119,0,0,0,8644,2008
60 and over,-1949,710761,238377,219044,97501,10760,44190,9455,83134,6712,1589,0,0,0,2008
0 to 4,2004 - 2008,4585781,235488,466766,351960,286258,443517,519907,417478,561615,1036474,120695,91748,53875,2007
5 to 9,1999 - 2003,3056583,155758,314156,192706,192706,260332,434113,297918,406362,531119,154123,59014,58276,2007
10 to 14,1994 - 1998,1553861,119391,74278,72734,84969,191350,272685,225545,189219,174474,24155,29171,95890,2007
15 to 19,1989 - 1993,1208362,70591,59929,49951,63814,152639,198057,183471,194189,103704,73598,24096,34323,2007
20 to 24,1984 - 1988,1887188,125422,238107,152230,128548,207263,278270,159313,360131,100955,45289,24003,67657,2007
25 to 29,1979 - 1983,5625912,297188,748797,580733,546875,894740,717957,590506,517799,226262,111623,31271,362161,2007
30 to 34,1974 - 1978,3843926,422094,830911,481806,342763,349970,386162,247365,521111,179964,45658,0,36122,2007
35 to 39,1969 - 1973,2209778,325422,458579,374571,183382,262992,117331,163666,185598,106231,11989,1766,18251,2007
40 to 44,1964 - 1968,1685911,363863,446511,301122,166133,150539,131462,31920,42093,27392,5112,0,19763,2007
45 to 49,1959 - 1963,820524,195220,290950,108055,32150,99615,21032,19279,29559,11343,13319,0,0,2007
50 to 54,1954 - 1958,406730,76033,112485,74778,10745,59579,14605,19986,14352,6614,12337,0,5217,2007
55 to 59,1949 - 1953,407406,145126,139615,5223,38437,60373,5285,3318,4210,0,0,0,5820,2007
60 and over,-1948,560029,185974,157578,75908,30326,87347,15867,1955,2559,2514,0,0,0,2007
0 to 4,2003 - 2007,4568309,186523,377036,335191,323673,508422,474647,476595,603376,901849,224223,35104,121671,2006
5 to 9,1998 - 2002,3243877,154986,253247,150498,160289,299004,346518,354195,450936,729608,230163,13462,100970,2006
10 to 14,1993 - 1997,1458481,82980,100725,76858,56277,168176,171720,180175,288765,246932,36130,15649,34092,2006
15 to 19,1988 - 1992,1046286,50021,72514,84487,37972,136895,166691,162490,146599,83100,61551,6999,36967,2006
20 to 24,1983 - 1987,2710173,132537,266090,251998,216632,410716,290303,259204,525701,240531,92086,11018,13357,2006
25 to 29,1978 - 1982,5165395,401761,750451,756584,476471,783392,476199,445495,397415,547618,63366,12216,54427,2006
30 to 34,1973 - 1977,3477306,403320,560652,551981,357342,400349,290475,197153,382621,111768,17707,0,203938,2006
35 to 39,1968 - 1972,2352001,392614,561664,324742,182777,235397,193731,133796,131748,63612,21872,0,110048,2006
40 to 44,1963 - 1967,1385701,243091,404921,216620,97669,111579,56420,95532,109550,21077,21443,0,7800,2006
45 to 49,1958 - 1962,685624,187593,206688,88300,59473,67746,11779,16676,28230,12595,3028,3514,0,2006
50 to 54,1953 - 1957,511286,100521,98176,50513,15174,21709,26439,97938,8651,8918,6057,0,77190,2006
55 to 59,1948 - 1952,787358,252952,221561,85030,49721,62435,25596,12791,0,4489,68341,0,4442,2006
60 and over,-1947,313368,98792,54948,15298,12857,13856,71349,26311,12677,7281,0,0,0,2006
0 to 4,2002 - 2006,4603894,198036,404047,410965,328249,543441,447556,416951,648069,839026,300282,27889,39384,2005
5 to 9,1997 - 2001,2531887,129757,191121,171641,106163,301605,292875,262545,389187,534008,77834,16638,58512,2005
10 to 14,1992 - 1996,1392448,83845,123901,81131,66608,165467,158430,170858,179877,253554,46867,6242,55667,2005
15 to 19,1987 - 1991,1514320,81939,120732,151469,60400,210601,173860,182046,241699,126973,97946,9361,57293,2005
20 to 24,1982 - 1986,3153364,156680,308268,339628,259059,458507,434125,351154,315334,387380,74697,6212,62320,2005
25 to 29,1977 - 1981,5478656,452905,927169,737532,582566,600361,587537,401686,505296,393752,59143,37714,192995,2005
30 to 34,1972 - 1976,2548864,288848,495079,357385,302976,320203,281265,178091,150675,155174,13506,5661,0,2005
35 to 39,1967 - 1971,2490896,432686,679368,429079,211775,254283,192484,103833,83880,72567,6128,3590,21222,2005
40 to 44,1962 - 1966,1205252,254715,358433,191824,110886,128036,29966,17804,70078,24431,19080,0,0,2005
45 to 49,1957 - 1961,870286,193172,239812,150650,91762,84831,46499,12750,25833,21935,3042,0,0,2005
50 to 54,1952 - 1956,313775,86479,77795,51942,18121,21032,18833,15669,16223,2682,0,4999,0,2005
55 to 59,1947 - 1951,636541,266782,162062,78878,49181,42173,5294,18686,13485,0,0,0,0,2005
60 and over,-1946,242201,83242,65774,23658,16575,32651,10797,0,9503,0,0,0,0,2005
0 to 4,2001 - 2005,4703824,195489,397801,384779,345097,521085,463024,458134,719769,734611,156394,35201,292440,2004
5 to 9,1996 - 2000,2266298,118108,183833,114525,143883,178157,294868,210669,364336,377280,102245,49319,129075,2004
10 to 14,1991 - 1995,1389384,73792,76689,111588,78092,199186,194004,168721,255985,143182,59725,4410,24010,2004
15 to 19,1986 - 1990,1387240,47474,121468,93689,109040,213069,240430,174999,188581,133538,43972,4582,16399,2004
20 to 24,1981 - 1985,4320987,184391,440393,460915,355484,613283,596370,426716,466093,376886,47207,10783,342467,2004
25 to 29,1976 - 1980,5663771,437600,876503,801317,531858,740607,568387,388558,676960,350428,99812,4512,187231,2004
30 to 34,1971 - 1975,2403810,262589,569729,356877,259188,316438,192073,151146,198980,89245,7546,0,0,2004
35 to 39,1966 - 1970,2865942,408160,620282,501010,286400,360708,245183,94625,42353,85324,8798,2616,210483,2004
40 to 44,1961 - 1965,1198575,213896,348046,200345,111673,77313,66890,9741,34389,24901,12886,2616,95877,2004
45 to 49,1956 - 1960,656739,158308,195242,55401,42509,86008,32381,45138,26232,5842,4157,0,5521,2004
50 to 54,1951 - 1955,335445,88412,88798,39165,15077,41163,8063,11256,8958,29608,0,0,4944,2004
55 to 59,1946 - 1950,658630,220124,203308,104698,39565,22329,18637,4523,7145,0,0,0,38301,2004
60 and over,-1945,275250,95559,68097,30641,14628,23512,6730,6942,9531,1858,17753,0,0,2004
0 to 4,2000 - 2004,5027017,212663,456520,380714,313292,512005,632969,618984,621961,698487,219817,235127,124478,2003
5 to 9,1995 - 1999,1417240,105260,93834,69149,120228,215241,149601,144065,288891,180076,31392,19502,0,2003
10 to 14,1990 - 1994,1376905,52097,73785,137288,71401,161290,201686,194648,265545,160287,25811,16828,16240,2003
15 to 19,1985 - 1989,1714127,75297,141108,166243,157780,269068,201154,212429,306868,121175,32179,12178,18649,2003
20 to 24,1980 - 1984,6041901,295727,818587,902494,634219,771283,487062,534955,639530,641420,80071,6771,229783,2003
25 to 29,1975 - 1979,4327826,348670,714697,531655,378160,594792,354810,126731,555853,417184,70279,0,234996,2003
30 to 34,1970 - 1974,2255480,314348,475132,339643,291902,291765,169914,95574,78817,90854,97160,4139,6232,2003
35 to 39,1965 - 1969,2119926,308580,619757,461868,148741,183107,95618,20299,24313,13112,10405,9077,225050,2003
40 to 44,1960 - 1964,1105233,178900,319442,89552,50672,59525,27185,20541,91719,4514,0,0,263183,2003
45 to 49,1955 - 1959,780266,120574,174695,98270,43828,77213,66228,5436,20791,0,0,0,173231,2003
50 to 54,1950 - 1954,470106,124966,155135,69199,48694,1013,8894,0,0,0,0,0,62206,2003
55 to 59,1945 - 1949,540333,194248,152755,69716,48117,32851,2476,0,2182,37988,0,0,0,2003
60 and over,-1944,153069,47010,38543,16821,18596,8116,0,10593,13391,0,0,0,0,2003
0 to 4,1999 - 2003,4205662,198428,345109,309083,264327,553415,335141,536120,738831,692223,143488,89498,0,2002
5 to 9,1994 - 1998,1415784,94695,176924,66140,103864,191684,165535,177868,160051,256979,14074,7971,0,2002
10 to 14,1989 - 1993,1067750,81624,102439,76216,80631,149033,111156,162818,147761,145637,10434,0,0,2002
15 to 19,1984 - 1988,2126919,87191,202609,217241,181641,302479,338553,209389,329066,142148,97931,18672,0,2002
20 to 24,1979 - 1983,6116271,314415,787884,729323,516208,951263,710926,597693,790451,613972,41909,8460,53768,2002
25 to 29,1974 - 1978,4379052,338798,756326,721459,506968,644570,428778,192803,472447,222367,94535,0,0,2002
30 to 34,1969 - 1973,2694283,295415,567395,406352,195718,480899,272054,163683,135928,40265,0,12188,124385,2002
35 to 39,1964 - 1968,2084971,288271,505040,343459,195358,230640,180119,88042,134150,81348,10498,17570,10477,2002
40 to 44,1959 - 1963,1189473,192885,305351,150814,136095,186407,61565,6212,35529,114614,0,0,0,2002
45 to 49,1954 - 1958,652805,87073,148182,94709,58175,100524,22919,12144,29288,47781,52012,0,0,2002
50 to 54,1949 - 1953,433295,141179,141659,66293,19088,18932,14266,5006,26873,0,0,0,0,2002
55 to 59,1944 - 1948,503716,153337,146373,79729,41601,22148,26624,19850,13092,963,0,0,0,2002
60 and over,-1943,170116,49828,52060,15681,14587,13646,18264,6051,0,0,0,0,0,2002
